family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
COMM,240,0.06,uniform_1_9,A*,,3.0,,0.0011768539989134297,1000,1
COMM,240,0.06,uniform_1_9,DIJKSTRA,,3.0,,0.0014027289980731439,1000,2
COMM,240,0.06,uniform_1_9,A*,,6.0,,0.0009767919982550666,1000,1
COMM,240,0.06,uniform_1_9,DIJKSTRA,,6.0,,0.0010600204986985773,1000,2
COMM,240,0.06,uniform_1_9,A*,,12.0,,0.0009211669967044145,1000,1
COMM,240,0.06,uniform_1_9,DIJKSTRA,,12.0,,0.0009623750011087395,1000,2
COMM,240,0.1,uniform_1_9,A*,,3.0,,0.001550312495965045,1000,1
COMM,240,0.1,uniform_1_9,DIJKSTRA,,3.0,,0.0021863955007574987,1000,2
COMM,240,0.1,uniform_1_9,A*,,6.0,,0.0013559380022343248,1000,1
COMM,240,0.1,uniform_1_9,DIJKSTRA,,6.0,,0.0017032085015671328,1000,2
COMM,240,0.1,uniform_1_9,A*,,12.0,,0.0011711455008480698,1000,1
COMM,240,0.1,uniform_1_9,DIJKSTRA,,12.0,,0.00140456250301213,1000,2
COMM,240,0.14,uniform_1_9,A*,,3.0,,0.0017306879999523517,1000,1
COMM,240,0.14,uniform_1_9,DIJKSTRA,,3.0,,0.0029325000032258686,1000,2
COMM,240,0.14,uniform_1_9,A*,,6.0,,0.0015863129992794711,1000,1
COMM,240,0.14,uniform_1_9,DIJKSTRA,,6.0,,0.0022554164970642887,1000,2
COMM,240,0.14,uniform_1_9,A*,,12.0,,0.0014638540014857426,1000,1
COMM,240,0.14,uniform_1_9,DIJKSTRA,,12.0,,0.001944771000125911,1000,2
