family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,60,0.1,uniform_1_9,A*,0.05,,,0.00016168750153155997,1000,4
WS,60,0.1,uniform_1_9,BI_DIJKSTRA,0.1,,,7.97715038061142e-05,1000,1
WS,60,0.1,uniform_1_9,ALT,0.1,,,0.00010537550042499788,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.00016354199397028424,1000,3
WS,60,0.1,uniform_1_9,A*,0.1,,,0.00017170849969261326,1000,4
WS,60,0.1,uniform_1_9,BI_DIJKSTRA,0.3,,,6.2624501879327e-05,1000,1
WS,60,0.1,uniform_1_9,ALT,0.3,,,0.00010697899779188447,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.00016287499965983443,1000,3
WS,60,0.1,uniform_1_9,A*,0.3,,,0.00016718749975552782,1000,4
WS,60,0.14,uniform_1_9,BI_DIJKSTRA,0.01,,,0.00014556250243913382,1000,1
WS,60,0.14,uniform_1_9,ALT,0.01,,,0.00014835449837846681,1000,2
WS,60,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.00019956300093326718,1000,3
WS,60,0.14,uniform_1_9,A*,0.01,,,0.00020337499881861731,1000,4
WS,60,0.14,uniform_1_9,BI_DIJKSTRA,0.05,,,0.00010597949949442409,1000,1
WS,60,0.14,uniform_1_9,ALT,0.05,,,0.00012760400204570033,1000,2
WS,60,0.14,uniform_1_9,A*,0.05,,,0.0001952499987964984,1000,3
WS,60,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.00019860450265696272,1000,4
WS,60,0.14,uniform_1_9,BI_DIJKSTRA,0.1,,,9.022899757837877e-05,1000,1
WS,60,0.14,uniform_1_9,ALT,0.1,,,0.00012735449490719475,1000,2
WS,60,0.14,uniform_1_9,A*,0.1,,,0.00019624999913503416,1000,3
WS,60,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.00020456250058487058,1000,4
WS,60,0.14,uniform_1_9,BI_DIJKSTRA,0.3,,,7.270800415426493e-05,1000,1
WS,60,0.14,uniform_1_9,ALT,0.3,,,0.0001282084995182231,1000,2
WS,60,0.14,uniform_1_9,A*,0.3,,,0.0001945830008480698,1000,3
WS,60,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.0002057505007542204,1000,4
WS,120,0.06,uniform_1_9,ALT,0.01,,,0.00023210449944599532,1000,1
WS,120,0.06,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0002554794991738163,1000,2
WS,120,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.0004136040006414987,1000,3
